  2: Obj = 2.686e-05, alpha = 1.054e-08, beta = 3.768e-09, eps = 2.232e-23, dual = 1.637e-03, #nonzeros = 31, x-x_p = 1.000e-04 
  3: Obj = 2.686e-05, alpha = 4.685e-10, beta = 8.792e-12, eps = 6.281e-33, dual = 1.636e-03, #nonzeros = 31, x-x_p = 4.273e-06 
  1: Obj = 2.614e-05, alpha = 3.248e-07, beta = 1.882e-06, eps = 1.798e-16, dual = 1.586e-03, #nonzeros = 31, x-x_p = 4.148e-03 
  2: Obj = 2.605e-05, alpha = 1.013e-08, beta = 4.076e-09, eps = 2.345e-23, dual = 1.554e-03, #nonzeros = 31, x-x_p = 9.970e-05 
  3: Obj = 2.605e-05, alpha = 4.747e-10, beta = 1.058e-11, eps = 7.942e-33, dual = 1.553e-03, #nonzeros = 31, x-x_p = 4.463e-06 
  1: Obj = 2.506e-05, alpha = 2.954e-07, beta = 1.879e-06, eps = 1.780e-16, dual = 1.495e-03, #nonzeros = 31, x-x_p = 3.957e-03 
  2: Obj = 2.497e-05, alpha = 9.595e-09, beta = 4.352e-09, eps = 2.479e-23, dual = 1.464e-03, #nonzeros = 31, x-x_p = 9.885e-05 
  1: Obj = 2.378e-05, alpha = 2.680e-07, beta = 1.884e-06, eps = 1.800e-16, dual = 1.399e-03, #nonzeros = 31, x-x_p = 3.788e-03 
  2: Obj = 2.370e-05, alpha = 8.949e-09, beta = 4.583e-09, eps = 2.640e-23, dual = 1.368e-03, #nonzeros = 31, x-x_p = 9.744e-05 
  1: Obj = 2.237e-05, alpha = 2.412e-07, beta = 1.891e-06, eps = 1.822e-16, dual = 1.299e-03, #nonzeros = 31, x-x_p = 3.635e-03 
  2: Obj = 2.229e-05, alpha = 8.213e-09, beta = 4.748e-09, eps = 2.768e-23, dual = 1.268e-03, #nonzeros = 31, x-x_p = 9.540e-05 
  1: Obj = 2.088e-05, alpha = 2.152e-07, beta = 1.899e-06, eps = 1.848e-16, dual = 1.198e-03, #nonzeros = 31, x-x_p = 3.493e-03 
  2: Obj = 2.080e-05, alpha = 7.414e-09, beta = 4.839e-09, eps = 2.861e-23, dual = 1.167e-03, #nonzeros = 31, x-x_p = 9.272e-05 
  1: Obj = 1.934e-05, alpha = 1.904e-07, beta = 1.904e-06, eps = 1.869e-16, dual = 1.096e-03, #nonzeros = 31, x-x_p = 3.357e-03 
  2: Obj = 1.927e-05, alpha = 6.579e-09, beta = 4.840e-09, eps = 2.895e-23, dual = 1.066e-03, #nonzeros = 31, x-x_p = 8.941e-05 
  1: Obj = 1.779e-05, alpha = 1.669e-07, beta = 1.903e-06, eps = 1.879e-16, dual = 9.959e-04, #nonzeros = 31, x-x_p = 3.227e-03 
  2: Obj = 1.772e-05, alpha = 5.736e-09, beta = 4.742e-09, eps = 2.851e-23, dual = 9.669e-04, #nonzeros = 31, x-x_p = 8.548e-05 
  1: Obj = 1.626e-05, alpha = 1.450e-07, beta = 1.895e-06, eps = 1.869e-16, dual = 8.986e-04, #nonzeros = 31, x-x_p = 3.099e-03 
